"question","options","answer"
"以下哪些情况可以申请办理退宿？","学生家住福州市（以户籍为准），距离学校15公里以内的 | 因身心健康问题，医院出具证明需单独住宿且有学生监护人或家人陪读的 | 研究生确因学业需要赴校外单位实验、实习及实践的","学生家住福州市（以户籍为准），距离学校15公里以内的 | 因身心健康问题，医院出具证明需单独住宿且有学生监护人或家人陪读的 | 研究生确因学业需要赴校外单位实验、实习及实践的"
"教室借用范围包括（）。","校院级大型学术活动 | 聘请校内外学者专家开展的专业讲座 | 企业为我校学生就业开展的招聘会和宣讲会 | 校院级党校学习活动","校院级大型学术活动 | 聘请校内外学者专家开展的专业讲座 | 企业为我校学生就业开展的招聘会和宣讲会 | 校院级党校学习活动"
"学生违法违纪后，有下列哪些情形之一，从重或者加重处分？","违法、违纪行为的主要责任人或组织者 | 强迫、唆使他人违法、违纪的 | 串供、抵赖或者伪造、销毁、隐匿证据的 | 阻止他人揭发检举、提供证据材料的 | 包庇同案人员或者打击报复批评人、检举人、控告人、证人及其他人员的 | 主动退出违法违纪所得的","违法、违纪行为的主要责任人或组织者 | 强迫、唆使他人违法、违纪的 | 串供、抵赖或者伪造、销毁、隐匿证据的 | 阻止他人揭发检举、提供证据材料的 | 包庇同案人员或者打击报复批评人、检举人、控告人、证人及其他人员的"
"学生有下列哪些情形之一者，予以退学（）。","未经批准连续两周未参加学校规定的教学活动者 | 超过学校规定期限未注册而又未履行暂缓注册手续者 | 接受学校退学劝告者 | 一学期必修课不及格累计达10学分者","未经批准连续两周未参加学校规定的教学活动者 | 超过学校规定期限未注册而又未履行暂缓注册手续者 | 接受学校退学劝告者"
"学生申诉处理委员会应当由以下哪些人员组成（）。","学校相关负责人 | 教师代表 | 学生代表 | 学生家长代表","学校相关负责人 | 教师代表 | 学生代表"
"学生宿舍中，以下哪些电器仅限临时使用，用后立即断电拔插（）。","手机充电器 | 充电宝 | 电热蚊香 | 电吹风","手机充电器 | 充电宝 | 电热蚊香 | 电吹风"
"关于学历证书和学位证书，以下说法正确的是（）。","证书遗失或者损坏，经本人申请，学校核实后可出具相应的证明书 | 证明书与原证书具有同等效力 | 对以作弊手段获得学历证书、学位证书的，学校依法予以撤销 | 被撤销的学位证书已注册的，无需注销","证书遗失或者损坏，经本人申请，学校核实后可出具相应的证明书 | 证明书与原证书具有同等效力 | 对以作弊手段获得学历证书、学位证书的，学校依法予以撤销"
"考试宣布结束时，学生应立即停止答题，将试卷翻放，待监考老师收齐试卷点清无误后，有秩序地离开考场，并不准将（）带走。","学生证 | 答题卡（答题纸） | 试卷（不含答题卡） | 草稿纸","答题卡（答题纸） | 试卷（不含答题卡） | 草稿纸"
"在评定学期中有下列（）情况之一，不具备获得各类奖学金的资格。","违反校纪校规，受到警告以上处分，在处分期限内的 | 休学或保留学籍的 | 所修习的课程(除任意选修课外)有不及格的 | 存在补考（已通过）科目的","违反校纪校规，受到警告以上处分，在处分期限内的 | 休学或保留学籍的 | 所修习的课程(除任意选修课外)有不及格的"
"学科竞赛等级分类中，A+类赛事包含（）。","中国国际大学生创新大赛 | 大学生英语竞赛 | “挑战杯”全国大学生课外学术科技作品竞赛 | “挑战杯”中国大学生创业计划竞赛","中国国际大学生创新大赛 | “挑战杯”全国大学生课外学术科技作品竞赛 | “挑战杯”中国大学生创业计划竞赛"
"勤工助学活动应坚持“（）、（）”的宗旨，按照学有余力、自愿申请、信息公开、扶困优先、竞争上岗、遵纪守法的原则，由学校各单位、各学院在不影响正常教学秩序和学生正常学习的前提下有组织地开展。","立足校园 | 锻炼技能 | 服务社会 | 勤劳刻苦","立足校园 | 服务社会"
"学生有下列情形之一的，不得转学（）。","入学未满一学期或者毕业前一年的 | 由低学历层次转为高学历层次的 | 以定向就业录取的 | 因患病无法继续在本校学习的","入学未满一学期或者毕业前一年的 | 由低学历层次转为高学历层次的 | 以定向就业录取的"
"《普通高等学校学生管理规定》，学生在校期间依法享有哪些权利（）","参加教学活动、使用教学资源 | 申请奖学金、助学金、助学贷款 | 对处分有异议可以提出申诉 | 无条件免除学费","参加教学活动、使用教学资源 | 申请奖学金、助学金、助学贷款 | 对处分有异议可以提出申诉"
"福州大学本科学生，有哪些情形学校可以予以退学处理（）","修业年限内没有完成学业 | 休学期满，逾期不申请复学或复学复查不合格 | 经医院诊断患病，无法继续在校学习 | 本人主动书面申请退学","修业年限内没有完成学业 | 休学期满，逾期不申请复学或复学复查不合格 | 经医院诊断患病，无法继续在校学习 | 本人主动书面申请退学"
"本科生申请转专业，哪些对象优先考虑（）","休学创业复学，创业经历和转入专业相关 | 退役复学，因自身情况需要转专业 | 挂科很多的学生 | 定向生","休学创业复学，创业经历和转入专业相关 | 退役复学，因自身情况需要转专业"
"考试携带手机进入考场，无论开机关机，都属于违规。","对 | 错","对"
"学生可以参加未选课的课程，自行参加考试，成绩可以被承认。","对 | 错","错"
"退学学生档案退回家庭所在地。","对 | 错","对"
"毕业证书遗失，学校只可以开具证明书，证明书效力等同于原证书。","对 | 错","对"
"学生对处分决定书有异议，超过申诉期限之后，学校不再受理申诉。","对 | 错","对"
"学生在校期间可以随意变更姓名、出生日期等证书需填写的个人信息。","对 | 错","错"
"思想政治理论课、德育、体育、军事理论等课程，学生不得申请免听与免修。","对 | 错","对"
"校内固定岗位按月计酬，以每月40个工时为计酬基准。","对 | 错","对"
"根据《福州大学学生管理规定》，新生入学后，学校在3个月内进行复查，复查不合格的，取消学籍。","对 | 错","对"
"学生入学后，学校应当在6个月内按照国家招生规定进行复查。","对 | 错","错"
"任何组织和个人不得在学校进行宗教活动。","对 | 错","对"
"学生宿舍实行收费住宿制度，具体收费标准按省发改委核定的标准执行。","对 | 错","对"
"学生可以申请免听思想政治理论课、体育课等课程。","对 | 错","错"
"学生因违反操作规程造成仪器设备损坏的，须承担赔偿责任。","对 | 错","对"
"国家励志奖学金由学校一次性发放，并颁发福建省教育厅统一印制的荣誉证书。","对 | 错","对"
"学生可以在教室吸烟。","对 | 错","错"
"未经请假或请假未获准逾期两周不到校注册的，除因不可抗力等正当事由以外，按自动退学处理。","对 | 错","对"
"对学生的奖励、处理、处分及解除处分材料，学校应当真实完整地归入学校文书档案和本人档案。","对 | 错","对"
"纪律处分的种类包括警告、严重警告、记过、留校察看、开除学籍。","对 | 错","对"
"在国家考试中冒名代替他人考试的，给予开除学籍处分。","对 | 错","对"
"学生对处分决定有异议的，可在接到决定书之日起15日内提出书面申诉。","对 | 错","错"
"博士学位论文应当同时交存国家图书馆和有关专业图书馆。","对 | 错","对"
"学校应当在报到时对新生入学资格进行初步审查，审查发现新生的录取通知、考生信息等证明材料，与本人实际情况不符，或者有其他违反国家招生考试规定情形的，取消入学资格。","对 | 错","对"
"若辅修专业课程与主修专业课程发生冲突，学生可申请免听，经任课教师批准后允许免听，但必须自学并参加该课程考试。","对 | 错","对"
"结业后在规定的修业年限内，课程修读合格并达到毕业要求者，准予以结业证书换发毕业证书。","对 | 错","对"
"校内勤工助学固定岗位按小时计酬。","对 | 错","错"
"综合素质评价每学年评价一次。","对 | 错","错"
"休学学生离校，学校保留学籍，但是不享受在校学生待遇。","对 | 错","对"
"学生受到留校察看处分，察看期 12 个月；察看期内休学，休学时间不计入察看期。","对 | 错","对"
"综合素质评价结果是评奖评优、推优入党、推免研究生的重要依据。","对 | 错","对"
"根据学校规定，不允许在校园进行宗教活动。","对 | 错","对"
"3.学生在休学、保留学籍期满后()内不办理复学申请手续或者申请复学经复查不合格者予以退学。","两周 | 一周 | 15个工作日 | 一年","两周"
"学生参加勤工助学的时间原则上每周不超过()小时。","8 | 6 | 10 | 12","8"
"根据《普通高等学校学生管理规定》，学生应征参加中国人民解放军，学校应当保留其学籍至退役后()年。","1 | 2 | 3 | 5","2"
"学生已修读的必修课中，课程考核不及格的学分数累计达到（）学分，由学院劝其退学。","20 | 25 | 30 | 35","30"
"学生在学校规定学习年限内，修完教育教学计划规定内容，成绩合格，达到学校毕业要求的，学校应当准予毕业，并在学生离校前发给（）。","结业证书 | 肄业证书 | 毕业证书 | 学习证明","毕业证书"
"除开除学籍处分以外，给予学生处分一般应当设置（）期限。","3到6个月 | 6到12个月 | 12到18个月 | 18到24个月","6到12个月"
"福州大学本科生转专业每学年办理一次，学生可以在（）自主申请转专业。","第一学期末、第三学期末、第五学期末 | 第一学期末、第二学期末、第三学期末 | 每学期末 | 每年九月","第一学期末、第三学期末、第五学期末"
"学生在校期间只允许辅修（）个专业。","一 | 二 | 三 | 四","一"
"优秀学生综合奖学金一等奖的评定标准为学期综合测评名次在本专业学生前（）。","5% | 10% | 15% | 20%","10%"
"学生申请国家奖学金，学习成绩排名与综合测评成绩排名均须位于前（）（含）。","5% | 10% | 15% | 20%","10%"
"文化科技创新创业奖学金中，入围“中国国际大学生创新大赛”冠军赛的项目给予（）元奖励。","50000 | 80000 | 100000 | 120000","100000"
"学生在宿舍区饮酒，在负面评价中每次扣（）分。","0.1 | 0.2 | 0.4 | 0.8","0.4"
"学生每学期修读课程学分一般不宜超过（）学分。","20 | 25 | 30 | 35","30"
"一学期累计旷课达（）学时者，给予严重警告处分。","10 | 20 | 25 | 30","20"
"病假三天以上的，由（）批准。","辅导员 | 班主任 | 辅导员签署意见，分管院领导 | 学院院长","辅导员签署意见，分管院领导"
"组织作弊的，给予（）处分。","留校察看 | 记过 | 开除学籍 | 严重警告","开除学籍"
"若辅修学生已获得辅修专业学分达到或超过（）学分，可于每学期开学初前三周内向教务处计划管理办公室申请免修主修专业通识教育选修课相应类别课程学分。","25 | 20 | 18 | 15","25"
"优秀学生综合奖学金每学期评定一次，于每年（）进行。","5月、10月 | 3月、9月 | 6月、12月 | 4月、10月","4月、10月"
"未经请假或请假未获准逾期两周不到校注册的（除因不可抗力等正当事由以外），按（）处理。","警告处分 | 记过处分 | 留校察看 | 自动退学","自动退学"
"学生对学校的处理或处分决定有异议的，可自收到处理或处分决定书之日起（）内向学校学生申诉处理委员会提出书面申诉。","5日 | 7日 | 10日 | 15日","10日"
"学生申诉处理委员会应在申诉受理决定之日起（）内作出复查结论。","10日 | 15日 | 20日 | 30日","15日"
"一学期旷课累计达到 10 学时，给予什么处分（）","警告 | 严重警告 | 记过 | 留校察看","警告"
"哪些学生不得转专业（）。","定向生 | 高水平运动队 | 休学期间学生 | 对其他专业有浓厚兴趣的大一学生","定向生 | 高水平运动队 | 休学期间学生"
"学生在校期间依法享有的权利包括()","参加学校教育教学计划安排的各项活动，使用学校提供的教育教学资源 | 对学校给予的处理或者处分有异议提出申诉 | 申请奖学金、助学金及助学贷款 | 可以不参加任何课程考核","参加学校教育教学计划安排的各项活动，使用学校提供的教育教学资源 | 对学校给予的处理或者处分有异议提出申诉 | 申请奖学金、助学金及助学贷款"
"学生有下列哪些情形之一的，学校可以给予开除学籍处分？()","学位论文、公开发表的研究成果存在抄袭、篡改、伪造等学术不端行为，情节严重的 | 上课迟到一次 | 触犯国家法律，构成刑事犯罪的 | 代替他人或者让他人代替自己参加考试、组织作弊的","学位论文、公开发表的研究成果存在抄袭、篡改、伪造等学术不端行为，情节严重的 | 触犯国家法律，构成刑事犯罪的 | 代替他人或者让他人代替自己参加考试、组织作弊的"
"学生有下列哪些情形之一的，学校可予退学处理？()","未经批准连续两周未参加学校规定的教学活动的 | 超过学校规定期限未注册而又未履行暂缓注册手续的 | 学业成绩未达到学校要求或者在学校规定的学习年限内未完成学业的 | 积极参加社会实践的","未经批准连续两周未参加学校规定的教学活动的 | 超过学校规定期限未注册而又未履行暂缓注册手续的 | 学业成绩未达到学校要求或者在学校规定的学习年限内未完成学业的"
"福州大学本科生综合素质评价成绩的组成部分包括()","学业测评成绩 | 德育素质测评成绩 | 智育、体育、美育、劳育素质测评成绩 | 家庭经济状况测评成绩","学业测评成绩 | 德育素质测评成绩 | 智育、体育、美育、劳育素质测评成绩"
"根据《高等学校学生行为准则》，大学生应当遵守的行为规范包括()。","志存高远，坚定信念 | 热爱祖国，服务人民 | 明礼修身，团结友爱 | 勤俭节约，艰苦奋斗","志存高远，坚定信念 | 热爱祖国，服务人民 | 明礼修身，团结友爱 | 勤俭节约，艰苦奋斗"
"根据《福州大学学生管理规定》，有下列哪些情形之一，学校可予本科学生退学处理？","学业成绩未达到学校要求或在修业年限内未完成学业的 | 休学、保留学籍期满，在学校规定期限内未提出复学申请的 | 未经批准连续两周未参加学校规定的教学活动的 | 超过学校规定期限未注册而又未履行暂缓注册手续的","学业成绩未达到学校要求或在修业年限内未完成学业的 | 休学、保留学籍期满，在学校规定期限内未提出复学申请的 | 未经批准连续两周未参加学校规定的教学活动的 | 超过学校规定期限未注册而又未履行暂缓注册手续的"
"学生申诉处理委员会可以作出哪些复查结论？","维持原处理或处分决定 | 建议撤销原处理或处分决定 | 建议变更原处理或处分决定 | 直接改变原处分等级","维持原处理或处分决定 | 建议撤销原处理或处分决定 | 建议变更原处理或处分决定"
"学生有下列哪些情形之一，不得转学？","入学未满一学期或者毕业前一年的 | 高考成绩低于拟转入学校相关专业同一生源地相应年份录取成绩的 | 由低学历层次转为高学历层次的 | 以定向就业招生录取的","入学未满一学期或者毕业前一年的 | 高考成绩低于拟转入学校相关专业同一生源地相应年份录取成绩的 | 由低学历层次转为高学历层次的 | 以定向就业招生录取的"
"以下关于学生使用网络的规定，正确的有（）。","学生不得利用网络发表影响学校事业发展大局，不利于稳定团结的言论 | 学生不得利用网络泄露学校秘密，危害学校安全的 | 学生不得利用网络发布未经证实、无法确定来源的消息，在网络上捏造或者歪曲事实、散布谣言造成一定影响的 | 学生不得利用网络对公民、法人或其他组织进行造谣、诽谤、侮辱，毁损公民、法人或其他组织的名誉","学生不得利用网络发表影响学校事业发展大局，不利于稳定团结的言论 | 学生不得利用网络泄露学校秘密，危害学校安全的 | 学生不得利用网络发布未经证实、无法确定来源的消息，在网络上捏造或者歪曲事实、散布谣言造成一定影响的 | 学生不得利用网络对公民、法人或其他组织进行造谣、诽谤、侮辱，毁损公民、法人或其他组织的名誉"
"学生集体外出活动必须遵守以下哪些要求？","通过正规旅行社组织 | 必须有老师带队参加 | 必须购买人身意外保险 | 必须乘坐有资质车辆","通过正规旅行社组织 | 必须有老师带队参加 | 必须购买人身意外保险 | 必须乘坐有资质车辆"
"在校学习期间或在修业年限内曾受“记过”及以上处分者，在哪些情况下学校不授予学士学位？","处分未解除期间 | 因作弊、剽窃、抄袭等违背学术诚信原因受处分，虽已解除但毕业时学习成绩排名未达前50%的 | 处分已解除且毕业时学习成绩排名在前50%以内的 | 因非学术诚信原因受处分，处分已解除的","处分未解除期间 | 因作弊、剽窃、抄袭等违背学术诚信原因受处分，虽已解除但毕业时学习成绩排名未达前50%的"
"根据《福州大学本科生辅修专业管理暂行办法》，以下说法正确的有（）。","学生在校期间只允许辅修一个专业 | 申请修读的学生主修专业已修课程平均学分绩点原则上应不低于2.0 | 辅修专业总学分控制在42～45学分 | 辅修专业学士学位单独发放学位证书 | 已获得主修专业学士学位，并获得辅修专业培养方案规定的全部学分，且辅修专业与主修专业归属不同的本科专业大类，可授予辅修专业学士学位","学生在校期间只允许辅修一个专业 | 申请修读的学生主修专业已修课程平均学分绩点原则上应不低于2.0 | 辅修专业总学分控制在42～45学分 | 已获得主修专业学士学位，并获得辅修专业培养方案规定的全部学分，且辅修专业与主修专业归属不同的本科专业大类，可授予辅修专业学士学位"
"根据《福州大学学生安全管理规定》，学生集体外出活动必须（）。","通过正规旅行社组织 | 有老师带队参加 | 购买人身意外保险 | 乘坐有资质车辆 | 学生自行组织无需报批","通过正规旅行社组织 | 有老师带队参加 | 购买人身意外保险 | 乘坐有资质车辆"
"根据《普通高等学校学生管理规定》，以下哪些属于不得转学的情形（）。","入学未满一学期或者毕业前一年的 | 由低学历层次转为高学历层次的 | 以定向就业招生录取的 | 家庭经济困难无法承担学费的","入学未满一学期或者毕业前一年的 | 由低学历层次转为高学历层次的 | 以定向就业招生录取的"
"申请国家奖学金的基本条件包括（）。","具有中华人民共和国国籍 | 热爱社会主义祖国，拥护中国共产党的领导 | 遵守地方法律法规，遵守学校规章制度 | 诚实守信，道德品质优良","具有中华人民共和国国籍 | 热爱社会主义祖国，拥护中国共产党的领导 | 诚实守信，道德品质优良"
"奖学金评定坚持“（）”的原则。","公平 | 公开 | 透明 | 公正","公平 | 公开 | 公正"
"下列关于日常学生违纪违规（校园交通秩序）但尚未达到处分程度的扣分标准的说法，正确的是（）。","电动自行车未实名登记、无牌通行，扣0.2分/辆 | 骑行电动自行车未按规定佩戴安全头盔，扣0.2分/次 | 电动自行车未在指定区域停放，扣0.2分/次 | 校园内使用滑板、轮滑、平衡车等滑行工具代步，扣0.2分/次","骑行电动自行车未按规定佩戴安全头盔，扣0.2分/次 | 电动自行车未在指定区域停放，扣0.2分/次 | 校园内使用滑板、轮滑、平衡车等滑行工具代步，扣0.2分/次"
"关于网络突发预案，下列说法正确的是（）。","网络信息员要定时巡查和监督网络信息情况，通过必要的技术手段保障网络安全 | 若网页被恶意更改，在被更改的原因找到并排除之前，不得重新开放网页服务 | 若网页被恶意更改，应立即停止主页服务并恢复正确内容 | 信息服务板块内容发布实行审核制度，未经审核不得发布","网络信息员要定时巡查和监督网络信息情况，通过必要的技术手段保障网络安全 | 若网页被恶意更改，在被更改的原因找到并排除之前，不得重新开放网页服务 | 若网页被恶意更改，应立即停止主页服务并恢复正确内容 | 信息服务板块内容发布实行审核制度，未经审核不得发布"
"下面哪些宿舍行为会受到学校纪律处分（）","私自在宿舍使用违规电器 | 留宿非本宿舍人员屡教不改 | 未经批准彻夜不归 | 按时打扫宿舍卫生","私自在宿舍使用违规电器 | 留宿非本宿舍人员屡教不改 | 未经批准彻夜不归"
"申请辅修专业，下面说法正确的有（）","在校只允许辅修一个专业 | 辅修课程冲突可以申请免听 | 辅修不及格课程可以补考 | 辅修达到学分可以发放辅修专业证书","在校只允许辅修一个专业 | 辅修课程冲突可以申请免听 | 辅修达到学分可以发放辅修专业证书"
"学士学位授予条件，福州大学要求（）","拥护党的领导，遵守宪法法律、恪守学术道德 | 修完培养方案，准予毕业 | 受记过及以上处分尚未解除，不授予学位 | 受过记过以上处分一律永远不能拿学位","拥护党的领导，遵守宪法法律、恪守学术道德 | 修完培养方案，准予毕业 | 受记过及以上处分尚未解除，不授予学位"
"学生办理退学，会出现下面哪些结果（）","档案退回家庭所在地 | 户口迁回原户籍地 | 符合条件发放肄业证书或者写实性学习证明 | 自动保留学籍","档案退回家庭所在地 | 户口迁回原户籍地 | 符合条件发放肄业证书或者写实性学习证明"
"受到记过及以上学术诚信类处分，解除处分之后就一定可以自动拿到学士学位。","对 | 错","错"
"未经批准，学生不可以私自在校外租房居住。","对 | 错","对"
"新生因参军申请保留入学资格的，可保留入学资格至退役后2年。","对 | 错","对"
"选修课不及格者，学校安排补考。","对 | 错","错"
"学生考试缺考的，学籍处理时以0分计。","对 | 错","对"
"住宿学生可以随意调换宿舍床位。","对 | 错","错"
"根据《福州大学学生管理规定》，对学生作出开除学籍处分的，应当提交校长办公会或者校长授权的专门会议研究决定。","对 | 错","对"
"勤工助学活动由学校或学院统一组织和管理，学生私自在校外兼职的行为不在本办法规定之列。","对 | 错","对"
"学生体育成绩评定要突出过程管理，可以根据考勤、课内教学、课外锻炼活动和体质健康等情况综合评定。","对 | 错","对"
"被开除学籍的学生，由学校发给学习证明。","对 | 错","对"
"学校对学生作出处分，应当出具处分决定书。","对 | 错","对"
"学生集体外出活动，可以未经批准擅自组织。","对 | 错","错"
"毕业班学生毕业会餐可以饮用较高度数酒。","对 | 错","错"
"学生重新参加入学考试、符合录取条件，再次入学的，其入学前五年内已获得学分，经学生书面申请、所在学院和教务处认定，可以予以承认。","对 | 错","对"
"学生不得有酗酒、打架斗殴、赌博、吸毒等违法行为；不得参与非法传销和进行邪教、封建迷信活动。","对 | 错","对"
"福州大学校徽采用单色红色，寓意吉祥、热情、醒目。","对 | 错","对"
"组织作弊给予留校察看处分。","对 | 错","错"
"新生和在校学生应征参加中国人民武装警察部队，学校应当保留其入学资格或者学籍至退役后1年。","对 | 错","错"
"学生违反操作或擅自动用贵重仪器设备或其他仪器设备造成损失的，必须做出书面检查，承担赔偿责任。","对 | 错","对"
"学业测评成绩=（平均学分绩点+5）×10（平均学分绩点以教务部门提供的数据为准），学业测评范围包括该学期除校选课以外的所有课程。","对 | 错","对"
"代写论文、买卖论文的，给予开除学籍处分。","对 | 错","对"
"学生每学期必须按时注册，未缴纳学费不予注册，家庭经济困难学生可以申请资助后注册。","对 | 错","对"
"福州大学校训是()","明德至诚，博学笃志 | 明德至善，博学远志 | 明德至诚，博学远志 | 至诚至善，博学笃志","明德至诚，博学远志"
"根据《福州大学学生住宿管理办法》，住校学生严禁在宿舍内饲养()。","花草 | 宠物 | 鱼类 | 乌龟","宠物"
"学生已修读的必修课中，课程考核不及格的学分数累计达到（）学分，给予学业危机警告。","10 | 15 | 20 | 25","20"
"退学学生的档案由学校退回其（）。","原单位 | 学校所在地 | 家庭所在地 | 户籍所在地","户籍所在地"
"接收大一学生转专业人数原则上不超过该专业入学时实际招生数的（）。","10% | 15% | 20% | 25%","20%"
"本科生国家奖学金的奖励标准为每人每年（）元。","8000 | 10000 | 12000 | 15000","10000"
"学生未经批准连续（）未参加学校规定的教学活动者，予以退学。","一周 | 两周 | 三周 | 一个月","两周"
"优秀学生综合奖学金二等奖学金评定标准为学期综合测评名次在本专业学生前（）。","10% | 20% | 30% | 40%","20%"
"学生在学校考试中冒名代替他人考试的，给予（）处分。","记过 | 留校察看 | 开除学籍 | 严重警告","留校察看"
"申请免听某门课程的学生，上一学期平均学分绩点应在（）及以上。","2.5 | 2.8 | 3.0 | 3.5","3.0"
"毕业时，学生体质健康测试成绩达不到（）分者按结业处理。","40 | 45 | 50 | 60","50"
"一学期累计旷课达（）学时者，给予警告处分。","5 | 8 | 10 | 15","10"
"在考试过程中用通讯设备或其他器材进行作弊的，给予（）处分。","记过 | 严重警告 | 留校察看 | 开除学籍","留校察看"
"博士学位答辩委员会组成人员应当不少于五人，其中学位授予单位以外的专家应当不少于（）人。","一 | 二 | 三 | 四","二"
"第二次及以后重新学习课程的成绩绩点均记为1。","2.0 | 1.7 | 1.5 | 1.0","1.0"
"未经批准连续（）未参加学校规定的教学活动者，予以退学。","一周 | 十天 | 两周 | 一个月","两周"
"福州大学五年制本科学生最长修业年限为（）","5 年 | 6 年 | 7 年 | 8 年","7 年"
"考试作弊情节严重，学校可以给予开除学籍处分的情形有（）。","代替他人或者让他人代替自己参加考试 | 组织作弊 | 使用通讯设备作弊牟取利益 | 考试迟到","代替他人或者让他人代替自己参加考试 | 组织作弊 | 使用通讯设备作弊牟取利益"
"毕业设计（论文）学生应当遵守（）。","恪守学术道德独立完成 | 引用内容注明出处 | 可以直接复制他人成果 | 校外做毕设也要遵守单位规章制度","恪守学术道德独立完成 | 引用内容注明出处"
"根据《福州大学学生管理规定》，关于辅修专业，以下说法正确的有()。","学生可以申请辅修校内其他专业 | 可以申请跨校辅修专业 | 辅修课程成绩（学分）经教务处审核同意后予以认定 | 对完成辅修要求的学生，学校发给辅修专业证书","学生可以申请辅修校内其他专业 | 可以申请跨校辅修专业 | 辅修课程成绩（学分）经教务处审核同意后予以认定 | 对完成辅修要求的学生，学校发给辅修专业证书"
"退宿原则上基于以下哪些情况？","学生家住福州市（以户籍为准），距离学校15公里以内的 | 因身心健康问题，医院出具证明需单独住宿且有学生监护人或家人陪读者 | 研究生确因学业需要赴校外单位实验、实习及实践的 | 学生个人申请住宿条件不习惯的","学生家住福州市（以户籍为准），距离学校15公里以内的 | 因身心健康问题，医院出具证明需单独住宿且有学生监护人或家人陪读者 | 研究生确因学业需要赴校外单位实验、实习及实践的"
"申请国家奖学金的基本条件包括（）。","具有中华人民共和国国籍 | 热爱社会主义祖国，拥护中国共产党的领导 | 遵守宪法和法律，遵守学校规章制度 | 诚实守信，道德品质优良","具有中华人民共和国国籍 | 热爱社会主义祖国，拥护中国共产党的领导 | 遵守宪法和法律，遵守学校规章制度 | 诚实守信，道德品质优良"
"以下关于学生宿舍管理的说法，正确的有（）。","住宿生未经批准，私自在校外租房住，给予记过处分 | 未经请假彻夜不归，初犯者给予警告处分 | 无故晚归或冒名顶替晚点名者，给予通报批评，屡教不改者给予警告或严重警告处分 | 在学生宿舍内饲养宠物，经劝阻无效者，给予警告处分","住宿生未经批准，私自在校外租房住，给予记过处分 | 未经请假彻夜不归，初犯者给予警告处分 | 无故晚归或冒名顶替晚点名者，给予通报批评，屡教不改者给予警告或严重警告处分 | 在学生宿舍内饲养宠物，经劝阻无效者，给予警告处分"
"学生有下列哪些行为，认定为考试违规并给予相应处分？","携带规定以外的物品进入考场，未按监考人员要求放在指定位置的，给予警告处分 | 未在规定的座位参加考试的，给予警告处分 | 考试开始信号发出前答题或者考试结束信号发出后继续答题的，给予警告处分 | 在考场或者学校禁止的范围内，喧哗、吸烟或者实施其它影响考场秩序行为的，给予警告处分","携带规定以外的物品进入考场，未按监考人员要求放在指定位置的，给予警告处分 | 未在规定的座位参加考试的，给予警告处分 | 考试开始信号发出前答题或者考试结束信号发出后继续答题的，给予警告处分 | 在考场或者学校禁止的范围内，喧哗、吸烟或者实施其它影响考场秩序行为的，给予警告处分"
"福州大学的校训是（）。","明德 | 至诚 | 博学 | 笃行 | 远志","明德 | 至诚 | 博学 | 远志"
"根据《福州大学本科生综合素质评价参考细则》，德育素质测评基础性测评的观测点包括（）。","认真学习贯彻习近平新时代中国特色社会主义思想 | 热爱母校，秉承“明德至诚 博学远志”校训，积极践行福州大学“三种精神” | 遵守宪法、法律、法规，遵守公民基本道德规范 | 尊敬师长，团结同学，关心集体，有较强的集体荣誉感 | 每学期至少参加一次校外兼职","认真学习贯彻习近平新时代中国特色社会主义思想 | 热爱母校，秉承“明德至诚 博学远志”校训，积极践行福州大学“三种精神” | 遵守宪法、法律、法规，遵守公民基本道德规范 | 尊敬师长，团结同学，关心集体，有较强的集体荣誉感"
"根据《福州大学本科生综合素质评价参考细则》，以下哪些情况属于宿舍违纪扣分行为？","无故迟到早退 | 夜不归宿 | 保管或使用违规电器 | 在宿舍或教室吸烟 | 留宿非本宿舍人员 | 按时熄灯就寝","无故迟到早退 | 夜不归宿 | 保管或使用违规电器 | 在宿舍或教室吸烟 | 留宿非本宿舍人员"
"下列关于日常学生违纪违规（课堂秩序）但尚未达到处分程度的扣分标准的说法，正确的是（）。","无故旷课扣0.1分/节 | 无故迟到早退扣0.1分/次 | 冒名顶替课堂点名扣0.1分/次 | 课堂喧哗扣0.1分/次","无故迟到早退扣0.1分/次 | 冒名顶替课堂点名扣0.1分/次"
"网络突发预案立足于防范和消除以下（）紧急情况的发生。","校园网页被恶意纂改 | 信息服务板块发表反政府、分裂国家和色情等内容 | 网络用户发布或阅读有害信息和言论 | 个别学生校园网无法正常登录使用","校园网页被恶意纂改 | 信息服务板块发表反政府、分裂国家和色情等内容 | 网络用户发布或阅读有害信息和言论"
"学生不得从事下列（）危害校园网络安全的活动，违者视情节轻重给予严重警告以上处分。","故意破坏学校网络设备和网络设施的 | 未经允许，私自接入网络设备 | 未经允许，为他人提供网络接入服务者的 | 未经允许，私自架设服务器提供各类服务的","故意破坏学校网络设备和网络设施的 | 未经允许，私自接入网络设备 | 未经允许，为他人提供网络接入服务者的 | 未经允许，私自架设服务器提供各类服务的"
"学生有下列情形之一，学校可以给予开除学籍处分（）。","触犯国家法律，构成刑事犯罪的 | 代替他人或者让他人代替自己参加考试的 | 组织作弊的 | 代写论文、买卖论文的","触犯国家法律，构成刑事犯罪的 | 代替他人或者让他人代替自己参加考试的 | 组织作弊的 | 代写论文、买卖论文的"
"对于（）等课程，学生不得申请免听与免修。","思想政治理论课 | 体育 | 军事理论 | 专业选修课","思想政治理论课 | 体育 | 军事理论"
